"Id","Name","Description","Self","GeneratedAt"
"10000","Done","Work has been completed on this issue.","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10000","2025-09-23 15:35:41"
"10001","Won't Do","This issue won't be actioned.","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10001","2025-09-23 15:35:41"
"10002","Duplicate","The problem is a duplicate of an existing issue.","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10002","2025-09-23 15:35:41"
"10003","Cannot Reproduce","All attempts at reproducing this issue failed, or not enough information was available to reproduce the issue. Reading the code produces no clues as to why this behavior would occur. If more information appears later, please reopen the issue.","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10003","2025-09-23 15:35:41"
"10100","Cancelled","The work has been cancelled for this issue","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10100","2025-09-23 15:35:41"
"10101","Rejected","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10101","2025-09-23 15:35:41"
"10102","Withdrawn","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10102","2025-09-23 15:35:41"
"10103","Deleted","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10103","2025-09-23 15:35:41"
"10104","Fixed","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10104","2025-09-23 15:35:41"
"10105","Works as Designed","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10105","2025-09-23 15:35:41"
"10106","Invalid Test Condition","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10106","2025-09-23 15:35:41"
"10107","Fix in the Future","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10107","2025-09-23 15:35:41"
"10108","Return with Comment","","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10108","2025-09-23 15:35:41"
"10109","Completed","Completed","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10109","2025-09-23 15:35:41"
"10110","None","None","https://onemain-omfdirty.atlassian.net/rest/api/3/resolution/10110","2025-09-23 15:35:41"
