"Item","Value","Status","Details","Timestamp"
"Project Key","ERDTEST","EXISTS","Target project key (already exists)","2025-10-17 06:26:09"
"Project Name","Enterprise Release Distribution Sandbox (20251017-062326)","EXISTS","Target project name (already exists)","2025-10-17 06:26:09"
"Project ID","10865","EXISTS","Target project ID (already exists)","2025-10-17 06:26:09"
"Issue Type","Task","CONFIGURED","Issue type ID: 10035","2025-10-17 06:26:09"
"Issue Type","Sub-task","CONFIGURED","Issue type ID: 10036","2025-10-17 06:26:09"
"Issue Type","Story","CONFIGURED","Issue type ID: 10034","2025-10-17 06:26:09"
"Issue Type","Bug","CONFIGURED","Issue type ID: 10037","2025-10-17 06:26:09"
"Issue Type","Epic","CONFIGURED","Issue type ID: 10000","2025-10-17 06:26:09"
"Issue Type","Theme","CONFIGURED","Issue type ID: 10043","2025-10-17 06:26:09"
"Issue Type","Spike","CONFIGURED","Issue type ID: 10042","2025-10-17 06:26:09"
"Issue Type","Key Result","CONFIGURED","Issue type ID: 10039","2025-10-17 06:26:09"
"Issue Type","Objective","CONFIGURED","Issue type ID: 10041","2025-10-17 06:26:09"
"Issue Type","Initiative","CONFIGURED","Issue type ID: 10038","2025-10-17 06:26:09"
"Step Start Time","2025-10-17 06:26:07","INFO","Step execution started","2025-10-17 06:26:07"
"Step End Time","2025-10-17 06:26:09","INFO","Step execution completed","2025-10-17 06:26:09"
