"Type","Name","Value","Details","Timestamp"
"Summary","Export Scope","UNRESOLVED","Scope of issues exported","2025-10-16 06:42:54"
"Summary","Total Issues Exported","56","Total number of issues exported","2025-10-16 06:42:54"
"Summary","Key to ID Mappings","56","Issue key to ID mappings created","2025-10-16 06:42:54"
"Summary","Include Closed Issues","False","Whether closed issues were included","2025-10-16 06:42:54"
"Summary","Include Sub-tasks","True","Whether sub-tasks were included","2025-10-16 06:42:54"
"Issue Type","Story","4","Count of issues by type","2025-10-16 06:42:54"
"Issue Type","Sub-task","6","Count of issues by type","2025-10-16 06:42:54"
"Issue Type","Task","30","Count of issues by type","2025-10-16 06:42:54"
"Issue Type","Initiative","1","Count of issues by type","2025-10-16 06:42:54"
"Issue Type","Epic","13","Count of issues by type","2025-10-16 06:42:54"
"Issue Type","Theme","2","Count of issues by type","2025-10-16 06:42:54"
"Status","Backlog","37","Count of issues by status","2025-10-16 06:42:54"
"Status","Ready for Work","8","Count of issues by status","2025-10-16 06:42:54"
"Status","In Progress","11","Count of issues by status","2025-10-16 06:42:54"
"File","Export File","source_issues_export.json","Main export file path","2025-10-16 06:42:54"
"File","Mapping File","key_to_id_mapping.json","Key to ID mapping file path","2025-10-16 06:42:54"
