"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required","Timestamp"
"ZCS-772","https://onemain.atlassian.net/browse/ZCS-772","ZCS1-108","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-108","Cloners","outward","ZCS-410","https://onemain.atlassian.net/browse/ZCS-410","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-773","https://onemain.atlassian.net/browse/ZCS-773","ZCS1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-110","Cloners","outward","ZCS-495","https://onemain.atlassian.net/browse/ZCS-495","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-774","https://onemain.atlassian.net/browse/ZCS-774","ZCS1-120","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-120","Cloners","outward","ZCS-545","https://onemain.atlassian.net/browse/ZCS-545","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-818","https://onemain.atlassian.net/browse/ZCS-818","ZCS1-119","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-119","Cloners","outward","ZCS-518","https://onemain.atlassian.net/browse/ZCS-518","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-820","https://onemain.atlassian.net/browse/ZCS-820","ZCS1-108","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-108","Cloners","outward","ZCS-410","https://onemain.atlassian.net/browse/ZCS-410","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-960","https://onemain.atlassian.net/browse/ZCS-960","ZCS1-202","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-202","Cloners","outward","ZCS-959","https://onemain.atlassian.net/browse/ZCS-959","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-380","https://onemain.atlassian.net/browse/ZCS-380","ZCS1-139","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-139","Cloners","inward","ZCS-762","https://onemain.atlassian.net/browse/ZCS-762","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-381","https://onemain.atlassian.net/browse/ZCS-381","ZCS1-146","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-146","Cloners","inward","ZCS-763","https://onemain.atlassian.net/browse/ZCS-763","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-382","https://onemain.atlassian.net/browse/ZCS-382","ZCS1-143","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-143","Cloners","inward","ZCS-764","https://onemain.atlassian.net/browse/ZCS-764","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-383","https://onemain.atlassian.net/browse/ZCS-383","ZCS1-144","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-144","Cloners","inward","ZCS-765","https://onemain.atlassian.net/browse/ZCS-765","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-386","https://onemain.atlassian.net/browse/ZCS-386","ZCS1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-134","Cloners","inward","ZCS-767","https://onemain.atlassian.net/browse/ZCS-767","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-387","https://onemain.atlassian.net/browse/ZCS-387","ZCS1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-135","Cloners","inward","ZCS-768","https://onemain.atlassian.net/browse/ZCS-768","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-390","https://onemain.atlassian.net/browse/ZCS-390","ZCS1-141","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-141","Cloners","inward","ZCS-769","https://onemain.atlassian.net/browse/ZCS-769","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
"ZCS-392","https://onemain.atlassian.net/browse/ZCS-392","ZCS1-98","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ZCS1-98","Cloners","inward","ZCS-771","https://onemain.atlassian.net/browse/ZCS-771","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance","2025-10-16 07:37:41"
